Período(Date);Região (Region;Entidade (Organization);Localização Geográfica(geographical location;Grupo Sanguíneo(Blood type);Reservas(Booking)
gru-10;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;Total;558
gru-10;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;Total;5127
gru-10;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;Total;
gru-10;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.39926;Total;249.127
gru-11;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;Total;393
gru-11;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;Total;326
gru-11;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;Total;59
gru-11;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;Total;23275
gru-11;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;Total;671
gru-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;Total;3138
gru-12;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;Total;66
gru-12;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;Total;3726
gru-12;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;Total;12432
gru-12;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;Total;693.6
gru-13;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;Total;144
gru-13;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;Total;5918
gru-14;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;Total;18916
gru-14;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;Total;774.9
gru-14;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;Total;
gru-14;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.39926;Total;291.662
sty-15;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;Total;82
sty-15;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;Total;406
sty-15;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;Total;64
sty-15;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;Total;1520
sty-15;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.39926;Total;306.558
lut-15;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;Total;328
lut-15;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;Total;118
lut-15;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;Total;415
mar-15;Entidade Central (IPST, IP);Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758,-9.1505021;Total;4818
mar-15;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;Total;76
